n	mic1_L1_mis	mic1_L1_stima	mic1_L2_mis	mic1_L2_stima	mic2_L1_mis	mic2_L1_stima	mic2_L2_mis	mic2_L2_stima
269	0.224138	0.163167	-0.000429	-0.127763	0.001473	-0.095107	-0.130027	-0.063785
270	0.436657	0.142604	-0.000395	0.086923	-0.000269	-0.023245	-0.017946	-0.083944
271	0.463771	0.064608	-0.000324	-0.098523	-0.002445	-0.072299	-0.100387	-0.055554
272	0.296687	-0.012525	-0.000107	-0.011965	-0.000692	0.001800	-0.026792	-0.071771
273	0.338999	-0.048675	0.001018	-0.070300	0.001194	-0.005468	-0.050043	-0.065897
274	0.109251	-0.076463	-0.001163	-0.054895	0.001627	-0.006478	-0.021365	-0.033459
275	0.196577	-0.086557	0.000080	-0.038862	-0.002097	0.053119	-0.058057	-0.056621
276	-0.013531	-0.118670	0.000108	-0.060763	-0.001479	0.012188	-0.018288	-0.051113
277	0.039008	-0.088210	0.006180	0.022892	-0.000357	0.072571	-0.051269	-0.039484
278	-0.142069	-0.068872	-0.000173	-0.035667	0.003064	0.017964	-0.008826	-0.046102
279	-0.020986	-0.043271	-0.020162	0.051338	0.000097	0.073787	-0.024464	-0.012596
280	-0.173951	-0.070456	0.004603	-0.027601	-0.001946	-0.009589	-0.013586	-0.014780
281	-0.053578	-0.085977	-0.012277	0.048641	-0.002323	0.086273	-0.050123	-0.008891
282	-0.150719	-0.056178	-0.003442	0.022993	0.003137	-0.039075	-0.026464	-0.040451
283	-0.000756	-0.065458	0.020294	0.026598	0.006649	0.035067	-0.023566	-0.018229
284	-0.080844	-0.020164	0.005126	0.061121	-0.001188	-0.016391	-0.054059	-0.019575
285	0.001792	-0.031496	-0.053214	0.031923	-0.024225	0.005505	-0.046342	-0.049424
286	-0.103398	-0.021866	-0.443341	-0.005276	0.008403	-0.100335	-0.029210	-0.049897
287	0.001153	-0.038118	0.429597	-0.498735	-0.012316	-0.459270	-0.040226	-0.027840
288	-0.079129	-0.009468	1.000000	0.539517	0.003278	0.590550	-0.037387	-0.044385
289	0.010935	-0.021688	-0.268734	1.000000	0.013694	1.000000	-0.039818	-0.037814
290	-0.052168	-0.008304	-0.789088	-0.278714	0.008590	-0.408694	-0.031322	-0.042079
291	-0.013156	-0.025716	-0.494081	-0.911235	-0.076858	-0.930130	-0.027591	-0.029359
292	-0.076239	-0.042922	0.260033	-0.462469	-0.444265	-0.335111	-0.040038	-0.026693
293	-0.013201	-0.014805	0.504519	0.227490	0.516325	0.413181	-0.040330	-0.037426
294	-0.059012	-0.041085	0.638895	0.602477	1.000000	0.677886	-0.040022	-0.034992
295	-0.010853	-0.029856	0.617167	0.646915	-0.390289	0.720133	-0.053427	-0.035370
296	-0.054117	-0.039904	0.519880	0.678911	-0.887795	0.609155	-0.043175	-0.047102
297	-0.032511	-0.033238	0.380489	0.546335	-0.419811	0.478844	-0.039666	-0.040698
298	-0.038699	-0.033913	0.177325	0.409941	0.366216	0.393229	-0.040741	-0.033376
299	-0.020026	-0.041280	0.072079	0.219733	0.601084	0.221935	-0.026987	-0.041566
300	-0.046373	-0.054638	-0.002619	0.096311	0.693267	0.141228	-0.030930	-0.026296
301	-0.024920	-0.044941	-0.030956	0.051074	0.561658	0.092573	-0.035494	-0.030506
302	-0.045673	-0.037585	-0.114052	-0.006382	0.459851	0.044862	-0.028603	-0.043014
303	-0.023758	-0.047033	-0.071242	-0.056529	0.346881	-0.030565	-0.021341	-0.019898
304	-0.048584	-0.025348	-0.115603	-0.051366	0.205418	-0.034138	-0.021013	-0.030310
305	-0.051814	-0.039675	-0.036536	-0.075313	0.096766	-0.046258	-0.020067	-0.014534
306	-0.051612	-0.029890	-0.097086	-0.044029	0.034582	-0.094352	-0.030753	-0.023066
307	-0.041293	-0.024255	-0.118984	-0.100897	-0.010435	-0.069250	-0.025533	-0.029130
308	-0.052703	-0.030331	-0.077404	-0.178443	-0.084786	-0.250492	-0.014067	-0.022584
309	-0.034380	-0.018113	0.010820	-0.071156	-0.055163	-0.133949	-0.015159	-0.007466
310	-0.040243	-0.023436	-0.132120	-0.050217	-0.103043	-0.099704	-0.021660	-0.016633
311	-0.030566	-0.023544	-0.125577	-0.179788	-0.057565	-0.132399	-0.021330	-0.011997
312	-0.023813	-0.020990	-0.123708	-0.178721	-0.094723	-0.141377	-0.021118	-0.021798
313	-0.028467	-0.013989	-0.075950	-0.157292	-0.167378	-0.149420	-0.014233	-0.015664
314	-0.020684	-0.019645	-0.107418	-0.102601	-0.111276	-0.109328	-0.012025	-0.009577
315	-0.020799	-0.011743	-0.109672	-0.125925	-0.052562	-0.024259	-0.014698	-0.015163
316	-0.026351	-0.015325	-0.107180	-0.172608	-0.104337	-0.085171	-0.010243	-0.012384
